key,option,VN,CN,TH
Display Name,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection_line__display_name",Tên hiển thị,Display Name,Display Name
Display Type,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection_line__display_type",Kiểu hiển thị,Display Type,Display Type
Evidence Photo (Inspection),"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection_line__evidence_image",Ảnh chụp minh chứng (Giám sát),Evidence Photo (Inspection),Evidence Photo (Inspection)
Violation evidence photo captured during inspection.,"model:ir.model.fields,help:wujia_franchise.field_wujia_franchise_inspection_line__evidence_image",Ảnh chụp bằng chứng vi phạm ghi nhận trong đợt giám sát.,Violation evidence photo captured during inspection.,Violation evidence photo captured during inspection.
Violation Count,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection_line__fail_count",Số lần vi phạm,Violation Count,Violation Count
Franchise Store,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection_line__franchise_id",Cửa hàng nhượng quyền,Franchise Store,Franchise Store
ID,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection_line__id",ID,ID,ID
Inspection Sheet,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection_line__inspection_id",Phiếu giám sát,Inspection Sheet,Inspection Sheet
Passed (Pass),"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection_line__is_pass",Đạt (Pass),Passed (Pass),Passed (Pass)
Inspection Count,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection_line__line_count",Số đợt giám sát,Inspection Count,Inspection Count
Violation Note (Admin),"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection_line__note",Ghi chú vi phạm (Admin),Violation Note (Admin),Violation Note (Admin)
Pass Count,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection_line__pass_count",Số lần Đạt,Pass Count,Pass Count
Inspection Date,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection_line__planned_date",Ngày giám sát,Inspection Date,Inspection Date
Previous Deduction Score,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection_line__previous_deduction_score",Điểm trừ kỳ trước,Previous Deduction Score,Previous Deduction Score
Previous Inspection,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection_line__previous_inspection_id",Phiếu khảo sát trước,上次評核,การตรวจครั้งก่อน
Previous Line,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection_line__previous_line_id",Dòng giám sát kỳ trước,Previous Line,Previous Line
Previous Result,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection_line__previous_result",Kết quả kỳ trước,Previous Result,Previous Result
Remediation Photo,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection_line__remediation_image",Ảnh chụp khắc phục,Remediation Photo,Remediation Photo
Photo showing results after store completed remediation.,"model:ir.model.fields,help:wujia_franchise.field_wujia_franchise_inspection_line__remediation_image",Ảnh chụp thể hiện kết quả sau khi cửa hàng đã hoàn thành khắc phục.,Photo showing results after store completed remediation.,Photo showing results after store completed remediation.
Remediation Note (Store),"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection_line__remediation_note",Ghi chú khắc phục (Cửa hàng),Remediation Note (Store),Remediation Note (Store)
Remediation notes / feedback submitted by store via Portal.,"model:ir.model.fields,help:wujia_franchise.field_wujia_franchise_inspection_line__remediation_note",Ghi chú/phản hồi khắc phục do cửa hàng gửi qua Portal.,Remediation notes / feedback submitted by store via Portal.,Remediation notes / feedback submitted by store via Portal.
Remediation Status,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection_line__remediation_state",Trạng thái khắc phục,Remediation Status,Remediation Status
Require Evidence If Fail,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection_line__require_evidence_if_fail",Yêu cầu ảnh bằng chứng nếu Không đạt,Require Evidence If Fail,Require Evidence If Fail
Require Evidence Snapshot,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection_line__require_evidence_if_fail_snapshot",Yêu cầu ảnh bằng chứng (Bản chụp cấu hình),Require Evidence Snapshot,Require Evidence Snapshot
Require Note If Fail,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection_line__require_note_if_fail",Yêu cầu ghi chú nếu Không đạt,Require Note If Fail,Require Note If Fail
Require Note Snapshot,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection_line__require_note_if_fail_snapshot",Yêu cầu ghi chú (Bản chụp cấu hình),Require Note Snapshot,Require Note Snapshot
Result,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection_line__result",Kết quả,Result,Result
Sequence,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection_line__sequence",Thứ tự,Sequence,Sequence
Inspection Template,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection_line__template_id",Mẫu phiếu giám sát,Inspection Template,Inspection Template
Inspection Criterion,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection_line__template_line_id",Tiêu chí giám sát,Inspection Criterion,Inspection Criterion
Last Updated on,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection_line__write_date",Cập nhật lần cuối vào,Last Updated on,Last Updated on
Last Updated by,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection_line__write_uid",Cập nhật lần cuối bởi,Last Updated by,Last Updated by
Active,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection_question__active",Đang hoạt động,正常營運,ใช้งานอยู่
Next Activity Deadline,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection_question__activity_date_deadline",Hạn chót hoạt động tiếp theo,Next Activity Deadline,Next Activity Deadline
Activity Exception Decoration,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection_question__activity_exception_decoration",Kiểu cảnh báo hoạt động,Activity Exception Decoration,Activity Exception Decoration
Type of the exception activity on record.,"model:ir.model.fields,help:wujia_franchise.field_wujia_franchise_inspection_question__activity_exception_decoration",Loại hoạt động ngoại lệ trên bản ghi.,Type of the exception activity on record.,Type of the exception activity on record.
Icon,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection_question__activity_exception_icon",Biểu tượng,Icon,Icon
Icon to indicate an exception activity.,"model:ir.model.fields,help:wujia_franchise.field_wujia_franchise_inspection_question__activity_exception_icon",Biểu tượng biểu thị một hoạt động ngoại lệ.,Icon to indicate an exception activity.,Icon to indicate an exception activity.
Activities,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection_question__activity_ids",Các hoạt động,Activities,Activities
Activity State,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection_question__activity_state",Trạng thái hoạt động,Activity State,Activity State
"Status based on activities
Overdue: Due date is already passed
Today: Activity date is today
Planned: Future activities.","model:ir.model.fields,help:wujia_franchise.field_wujia_franchise_inspection_question__activity_state","Trạng thái dựa trên các hoạt động:
Quá hạn: Hạn chót đã qua
Hôm nay: Hạn chót là hôm nay
Đã lên kế hoạch: Các hoạt động trong tương lai.","Status based on activities
Overdue: Due date is already passed
Today: Activity date is today
Planned: Future activities.","Status based on activities
Overdue: Due date is already passed
Today: Activity date is today
Planned: Future activities."
Next Activity Summary,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection_question__activity_summary",Tóm tắt hoạt động tiếp theo,Next Activity Summary,Next Activity Summary
Activity Type Icon,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection_question__activity_type_icon",Biểu tượng loại hoạt động,Activity Type Icon,Activity Type Icon
Font awesome icon e.g. fa-tasks,"model:ir.model.fields,help:wujia_franchise.field_wujia_franchise_inspection_question__activity_type_icon",Biểu tượng Font Awesome ví dụ fa-tasks,Font awesome icon e.g. fa-tasks,Font awesome icon e.g. fa-tasks
Next Activity Type,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection_question__activity_type_id",Loại hoạt động tiếp theo,Next Activity Type,Next Activity Type
Responsible User,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection_question__activity_user_id",Người phụ trách,Responsible User,Responsible User
Question Code,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection_question__code",Mã tiêu chí,Question Code,Question Code
Correct Answers (JSON),"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection_question__correct_answers",Đáp án đúng (JSON),Correct Answers (JSON),Correct Answers (JSON)
Correct Answers (1 Line per Blank),"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection_question__correct_answers_text",Đáp án đúng (1 dòng cho mỗi ô trống),Correct Answers (1 Line per Blank),Correct Answers (1 Line per Blank)
Created on,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection_question__create_date",Ngày tạo,Created on,Created on
Created by,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection_question__create_uid",Người tạo,Created by,Created by
Display Name,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection_question__display_name",Tên hiển thị,Display Name,Display Name
Has Message,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection_question__has_message",Có tin nhắn,Has Message,Has Message
ID,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection_question__id",ID,ID,ID
Attachment Count,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection_question__message_attachment_count",Số lượng tệp đính kèm,Attachment Count,Attachment Count
Followers,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection_question__message_follower_ids",Người theo dõi,Followers,Followers
Message Delivery error,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection_question__message_has_error",Lỗi gửi tin nhắn,Message Delivery error,Message Delivery error
"If checked, some messages have a delivery error.","model:ir.model.fields,help:wujia_franchise.field_wujia_franchise_inspection_question__message_has_error","Nếu chọn, một số tin nhắn gặp lỗi khi gửi.","If checked, some messages have a delivery error.","If checked, some messages have a delivery error."
Number of errors,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection_question__message_has_error_counter",Số lượng lỗi,Number of errors,Number of errors
Number of messages with delivery error,"model:ir.model.fields,help:wujia_franchise.field_wujia_franchise_inspection_question__message_has_error_counter",Số lượng tin nhắn bị lỗi gửi,Number of messages with delivery error,Number of messages with delivery error
SMS Delivery error,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection_question__message_has_sms_error",Lỗi gửi SMS,SMS Delivery error,SMS Delivery error
"If checked, some messages have a delivery error.","model:ir.model.fields,help:wujia_franchise.field_wujia_franchise_inspection_question__message_has_sms_error","Nếu chọn, một số tin nhắn gặp lỗi khi gửi.","If checked, some messages have a delivery error.","If checked, some messages have a delivery error."
Messages,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection_question__message_ids",Tin nhắn,Messages,Messages
Is Follower,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection_question__message_is_follower",Là người theo dõi,Is Follower,Is Follower
Action Needed,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection_question__message_needaction",Cần hành động,Action Needed,Action Needed
"If checked, new messages require your attention.","model:ir.model.fields,help:wujia_franchise.field_wujia_franchise_inspection_question__message_needaction","Nếu chọn, có tin nhắn mới cần bạn chú ý.","If checked, new messages require your attention.","If checked, new messages require your attention."
Number of Actions,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection_question__message_needaction_counter",Số lượng hành động,Number of Actions,Number of Actions
Number of messages requiring action,"model:ir.model.fields,help:wujia_franchise.field_wujia_franchise_inspection_question__message_needaction_counter",Số lượng tin nhắn cần xử lý,Number of messages requiring action,Number of messages requiring action
Followers (Partners),"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection_question__message_partner_ids",Người theo dõi (Đối tác),Followers (Partners),Followers (Partners)
My Activity Deadline,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection_question__my_activity_date_deadline",Hạn chót hoạt động của tôi,My Activity Deadline,My Activity Deadline
Question Text,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection_question__question_text",Nội dung tiêu chí,Question Text,Question Text
Question content. Use ____ to represent blanks to fill.,"model:ir.model.fields,help:wujia_franchise.field_wujia_franchise_inspection_question__question_text",Nội dung câu hỏi. Sử dụng ____ để biểu thị ô trống cần điền.,Question content. Use ____ to represent blanks to fill.,Question content. Use ____ to represent blanks to fill.
Score,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection_question__score",Điểm số,Score,Score
Score obtained when answering this question correctly.,"model:ir.model.fields,help:wujia_franchise.field_wujia_franchise_inspection_question__score",Điểm đạt được khi trả lời chính xác câu hỏi này.,Score obtained when answering this question correctly.,Score obtained when answering this question correctly.
Website Messages,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection_question__website_message_ids",Tin nhắn Website,Website Messages,Website Messages
Website communication history,"model:ir.model.fields,help:wujia_franchise.field_wujia_franchise_inspection_question__website_message_ids",Lịch sử trao đổi trên Website,Website communication history,Website communication history
Last Updated on,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection_question__write_date",Cập nhật lần cuối vào,Last Updated on,Last Updated on
Last Updated by,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection_question__write_uid",Cập nhật lần cuối bởi,Last Updated by,Last Updated by
Created on,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection_report_line__create_date",Ngày tạo,Created on,Created on
Created by,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection_report_line__create_uid",Người tạo,Created by,Created by
Month (MM/YYYY),"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection_report_line__date_month",Tháng / Năm,月份 (MM/YYYY),เดือน (MM/YYYY)
Days in Month,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection_report_line__days_of_month",Số ngày trong tháng,當月天數,จำนวนวันในเดือน
Display Name,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection_report_line__display_name",Tên hiển thị,Display Name,Display Name
ID,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection_report_line__id",ID,ID,ID
Inspection Sheet,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection_report_line__inspection_id",Phiếu giám sát,Inspection Sheet,Inspection Sheet
% App Orders,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection_report_line__percent_app_sale",Tỷ lệ đặt app (%),App 訂單比率 (%),อัตราส่วนคำสั่งซื้อ App (%)
Revenue,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection_report_line__revenue",Doanh thu,營業額,รายได้
Daily Average Revenue,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection_report_line__revenue_avg",Doanh thu TB ngày,日均營業額,รายได้เฉลี่ยต่อวัน
Sequence,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection_report_line__sequence",Thứ tự,Sequence,Sequence
Mini App Orders,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection_report_line__total_app_sale",Tổng đơn hàng Mini App,Mini App 訂單總數,ยอดคำสั่งซื้อ Mini App ทั้งหมด
Last Updated on,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection_report_line__write_date",Cập nhật lần cuối vào,Last Updated on,Last Updated on
Last Updated by,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection_report_line__write_uid",Cập nhật lần cuối bởi,Last Updated by,Last Updated by
Next Activity Deadline,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection_template__activity_date_deadline",Hạn chót hoạt động tiếp theo,Next Activity Deadline,Next Activity Deadline
Activity Exception Decoration,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection_template__activity_exception_decoration",Kiểu cảnh báo hoạt động,Activity Exception Decoration,Activity Exception Decoration
Type of the exception activity on record.,"model:ir.model.fields,help:wujia_franchise.field_wujia_franchise_inspection_template__activity_exception_decoration",Loại hoạt động ngoại lệ trên bản ghi.,Type of the exception activity on record.,Type of the exception activity on record.
Icon,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection_template__activity_exception_icon",Biểu tượng,Icon,Icon
Icon to indicate an exception activity.,"model:ir.model.fields,help:wujia_franchise.field_wujia_franchise_inspection_template__activity_exception_icon",Biểu tượng biểu thị một hoạt động ngoại lệ.,Icon to indicate an exception activity.,Icon to indicate an exception activity.
Activities,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection_template__activity_ids",Các hoạt động,Activities,Activities
Activity State,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection_template__activity_state",Trạng thái hoạt động,Activity State,Activity State
"Status based on activities
Overdue: Due date is already passed
Today: Activity date is today
Planned: Future activities.","model:ir.model.fields,help:wujia_franchise.field_wujia_franchise_inspection_template__activity_state","Trạng thái dựa trên các hoạt động:
Quá hạn: Hạn chót đã qua
Hôm nay: Hạn chót là hôm nay
Đã lên kế hoạch: Các hoạt động trong tương lai.","Status based on activities
Overdue: Due date is already passed
Today: Activity date is today
Planned: Future activities.","Status based on activities
Overdue: Due date is already passed
Today: Activity date is today
Planned: Future activities."
Next Activity Summary,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection_template__activity_summary",Tóm tắt hoạt động tiếp theo,Next Activity Summary,Next Activity Summary
Activity Type Icon,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection_template__activity_type_icon",Biểu tượng loại hoạt động,Activity Type Icon,Activity Type Icon
Font awesome icon e.g. fa-tasks,"model:ir.model.fields,help:wujia_franchise.field_wujia_franchise_inspection_template__activity_type_icon",Biểu tượng Font Awesome ví dụ fa-tasks,Font awesome icon e.g. fa-tasks,Font awesome icon e.g. fa-tasks
Next Activity Type,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection_template__activity_type_id",Loại hoạt động tiếp theo,Next Activity Type,Next Activity Type
Responsible User,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection_template__activity_user_id",Người phụ trách,Responsible User,Responsible User
Checklist Max Score,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection_template__checklist_max_score",Điểm tối đa Checklist,Checklist Max Score,Checklist Max Score
Template Code,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection_template__code",Mã mẫu phiếu,Template Code,Template Code
Created on,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection_template__create_date",Ngày tạo,Created on,Created on
Created by,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection_template__create_uid",Người tạo,Created by,Created by
Display Name,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection_template__display_name",Tên hiển thị,Display Name,Display Name
Effective Date,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection_template__effective_date",Ngày hiệu lực,Effective Date,Effective Date
Exam Max Score,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection_template__exam_max_score",Điểm tối đa bài thi,Exam Max Score,Exam Max Score
Has Message,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection_template__has_message",Có tin nhắn,Has Message,Has Message
ID,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection_template__id",ID,ID,ID
Inspection Criteria,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection_template__line_ids",Các tiêu chí giám sát,Inspection Criteria,Inspection Criteria
Attachment Count,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection_template__message_attachment_count",Số lượng tệp đính kèm,Attachment Count,Attachment Count
Followers,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection_template__message_follower_ids",Người theo dõi,Followers,Followers
Message Delivery error,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection_template__message_has_error",Lỗi gửi tin nhắn,Message Delivery error,Message Delivery error
"If checked, some messages have a delivery error.","model:ir.model.fields,help:wujia_franchise.field_wujia_franchise_inspection_template__message_has_error","Nếu chọn, một số tin nhắn gặp lỗi khi gửi.","If checked, some messages have a delivery error.","If checked, some messages have a delivery error."
Number of errors,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection_template__message_has_error_counter",Số lượng lỗi,Number of errors,Number of errors
Number of messages with delivery error,"model:ir.model.fields,help:wujia_franchise.field_wujia_franchise_inspection_template__message_has_error_counter",Số lượng tin nhắn bị lỗi gửi,Number of messages with delivery error,Number of messages with delivery error
SMS Delivery error,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection_template__message_has_sms_error",Lỗi gửi SMS,SMS Delivery error,SMS Delivery error
"If checked, some messages have a delivery error.","model:ir.model.fields,help:wujia_franchise.field_wujia_franchise_inspection_template__message_has_sms_error","Nếu chọn, một số tin nhắn gặp lỗi khi gửi.","If checked, some messages have a delivery error.","If checked, some messages have a delivery error."
Messages,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection_template__message_ids",Tin nhắn,Messages,Messages
Is Follower,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection_template__message_is_follower",Là người theo dõi,Is Follower,Is Follower
Action Needed,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection_template__message_needaction",Cần hành động,Action Needed,Action Needed
"If checked, new messages require your attention.","model:ir.model.fields,help:wujia_franchise.field_wujia_franchise_inspection_template__message_needaction","Nếu chọn, có tin nhắn mới cần bạn chú ý.","If checked, new messages require your attention.","If checked, new messages require your attention."
Number of Actions,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection_template__message_needaction_counter",Số lượng hành động,Number of Actions,Number of Actions
Number of messages requiring action,"model:ir.model.fields,help:wujia_franchise.field_wujia_franchise_inspection_template__message_needaction_counter",Số lượng tin nhắn cần xử lý,Number of messages requiring action,Number of messages requiring action
Followers (Partners),"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection_template__message_partner_ids",Người theo dõi (Đối tác),Followers (Partners),Followers (Partners)
My Activity Deadline,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection_template__my_activity_date_deadline",Hạn chót hoạt động của tôi,My Activity Deadline,My Activity Deadline
Template Name,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection_template__name",Tên mẫu phiếu,Template Name,Template Name
Status,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection_template__state",Trạng thái,狀態,สถานะ
Total Max Score,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection_template__total_max_score",Tổng điểm tối đa,Total Max Score,Total Max Score
Version,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection_template__version",Phiên bản,Version,Version
Website Messages,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection_template__website_message_ids",Tin nhắn Website,Website Messages,Website Messages
Website communication history,"model:ir.model.fields,help:wujia_franchise.field_wujia_franchise_inspection_template__website_message_ids",Lịch sử trao đổi trên Website,Website communication history,Website communication history
Last Updated on,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection_template__write_date",Cập nhật lần cuối vào,Last Updated on,Last Updated on
Last Updated by,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection_template__write_uid",Cập nhật lần cuối bởi,Last Updated by,Last Updated by
Created on,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection_template_import_wizard__create_date",Ngày tạo,Created on,Created on
Created by,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection_template_import_wizard__create_uid",Người tạo,Created by,Created by
Display Name,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection_template_import_wizard__display_name",Tên hiển thị,Display Name,Display Name
File Excel (.xlsx),"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection_template_import_wizard__file_data",Tệp Excel (.xlsx),File Excel (.xlsx),File Excel (.xlsx)
ID,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection_template_import_wizard__id",ID,ID,ID
Last Updated on,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection_template_import_wizard__write_date",Cập nhật lần cuối vào,Last Updated on,Last Updated on
Last Updated by,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection_template_import_wizard__write_uid",Cập nhật lần cuối bởi,Last Updated by,Last Updated by
Active,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection_template_line__active",Đang hoạt động,正常營運,ใช้งานอยู่
Category (Legacy),"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection_template_line__category",Danh mục (Cũ),Category (Legacy),Category (Legacy)
Category,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection_template_line__category_id",Danh mục tiêu chí,Category,Category
Criterion Content,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection_template_line__content",Nội dung tiêu chí,Criterion Content,Criterion Content
Created on,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection_template_line__create_date",Ngày tạo,Created on,Created on
Created by,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection_template_line__create_uid",Người tạo,Created by,Created by
Criterion Code,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection_template_line__criterion_code",Tiêu chí Mã,Criterion Code,Criterion Code
Criterion Type,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection_template_line__criterion_type",Loại tiêu chí,Criterion Type,Criterion Type
Deduction Score,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection_template_line__deduction_score",Điểm trừ,Deduction Score,Deduction Score
Display Name,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection_template_line__display_name",Tên hiển thị,Display Name,Display Name
Display Type,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection_template_line__display_type",Kiểu hiển thị,Display Type,Display Type
ID,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection_template_line__id",ID,ID,ID
Severe Violation,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection_template_line__is_severe",Vi phạm nghiêm trọng,Severe Violation,Severe Violation
Require Evidence If Fail,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection_template_line__require_evidence_if_fail",Yêu cầu ảnh bằng chứng nếu Không đạt,Require Evidence If Fail,Require Evidence If Fail
Require Note If Fail,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection_template_line__require_note_if_fail",Yêu cầu ghi chú nếu Không đạt,Require Note If Fail,Require Note If Fail
Sequence,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection_template_line__sequence",Thứ tự,Sequence,Sequence
Inspection Template,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection_template_line__template_id",Mẫu phiếu giám sát,Inspection Template,Inspection Template
Last Updated on,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection_template_line__write_date",Cập nhật lần cuối vào,Last Updated on,Last Updated on
Last Updated by,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection_template_line__write_uid",Cập nhật lần cuối bởi,Last Updated by,Last Updated by
